id,name,description,rarity,types,alignment,governance_style,attack,defense,mana,url
0-001,"Deathbringer, The Undying",A fearsome undead warrior dressed in dark armor.,Rare,"Undead,Warrior",Evil,"Tyrant, Fear Monger",9.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-001.png
0-002,Spectre of the Night,A translucent spirit warrior glowing in blue.,Common,"Spirit,Warrior",Neutral,Telepathic Manipulation,5.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-002.png
0-003,Woodland Lycan,A ferocious werewolf beast ready to pounce.,Common,"Beast,Warrior",Neutral,Fear Monger,6.0,7.0,9,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-003.png
0-004,Infernal Guardian,A fiery elemental bird with majestic plumage.,Common,"Celestial,Demon",Good,"Charismatic Charm, Egalitarian",5.0,6.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-004.png
0-005,Lord Malthor,A menacing demon warrior with blood-red armor.,Rare,"Demon,Warrior",Evil,"Tyrant, Fear Monger",8.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-005.png
0-006,"Moros, The Shadowmancer",A dark mage wielding shadowy powers.,Uncommon,"Mage,Undead",Evil,"Trickster, Telepathic Manipulation",7.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-006.png
0-007,"Seraphine, The Winged Guardian",A celestial being with radiant wings and armor.,Rare,"Celestial,Elemental",Good,"Theocracy, Charismatic Charm",7.0,7.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-007.png
0-008,Zarok the Mage Lord,A powerful mage wielding fiery magic.,Rare,"Demon,Mage",Evil,Tyrant,10.0,9.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-008.png
0-009,Valen The Guardian,A mighty celestial warrior with golden armor.,Uncommon,"Celestial,Warrior",Good,Benevolent Overseer,7.0,6.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-009.png
0-010,Azurewolf,A wolf-like creature channeling ice energies.,Rare,"Beast,Elemental",Neutral,Strategist,5.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-010.png
0-011,Raccoon Scout,"A clever little raccoon, always on alert.",Common,"Beast,Spirit",Neutral,Trickster,3.0,2.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-011.png
0-012,Blaze Golem,A rock entity with a fiery core.,Common,"Demon,Elemental",Neutral,Isolationist,4.0,4.0,5,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-012.png
0-013,Furry Gatherers,Playful fluffy creatures from the meadows.,Common,"Beast, Demon",Good,Democracy,2.0,3.0,3,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-013.png
0-014,Nyara the Forest Spirit,"Guardian of the deep woods, in sync with nature.",Uncommon,"Spirit,Elemental",Good,Egalitarian,6.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-014.png
0-015,Skullbash Goblin,A mischievous goblin with a knack for trouble.,Common,"Beast,Warrior",Neutral,"Trickster,Plutocracy",5.0,4.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-015.png
0-016,Lord Umbra,A mysterious sorcerer with immense power.,Uncommon,"Mage,Undead",Evil,"Telepathic Manipulation,Fear Monger",6.0,6.0,7,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-016.png
0-017,Spectre King,Ruler of the ghostly realms.,Rare,"Undead,Warrior",Evil,"Tyrant,Theocracy",7.0,8.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-017.png
0-018,Bone Emperor,An enforcer of the netherworld.,Common,"Undead,Mage",Evil,"Fear Monger,Telepathic Manipulation",5.0,5.0,4,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-018.png
0-019,Glacial Warlord,A powerful shaman commanding the icy elements.,Common,"Mage, Warrior",Neutral,"Strategist,Egalitarian",6.0,5.0,8,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-019.png
0-020,Jesterblade Goblin,A goblin rogue with deceptive tricks.,Common,"Warrior,Beast",Neutral,"Trickster,Isolationist",4.0,4.0,6,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-020.png
0-021,Tentacle Warden,Guardian of the deepest abysses.,Rare,"Demon, Elemental",Evil,"Telepathic Manipulation,Strategist",7.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-021.png
0-022,Count Veldren,A charismatic vampire with a flair for drama.,Rare,"Vampire,Warrior",Evil,"Charismatic Charm,Plutocracy",6.0,6.0,11,https://nearmonsters.s3.us-west-004.backblazeb2.com/alpha/final/0-022.png
